-8224, 11692, 7680, 5
692, -356, 16664, 1
-8716, -11756, -7928, 7
-104, 400, -16920, 12
-104, 412, -16808, 12
-8308, 11716, 7556, 5
-440, 14884, -6888, 10
816, -348, 16584, 1
116, -15092, 6764, 2
8708, 11488, 7768, 4
-13912, -4980, 7012, 6
-456, 14808, -6988, 10
112, -15100, 6864, 2
-13920, -4968, 7040, 6
-14052, 4920, -6984, 11
-14056, 4924, -6956, 11
14344, -5104, 6784, 3
13932, 4388, -7896, 9
796, -420, 16556, 1
-8808, -11752, -7828, 7
664, -388, 16560, 1
-14064, 4904, -6964, 11
-13960, -5036, 6960, 6
676, -396, 16624, 1
-14104, 4820, -6964, 11
-13928, -4972, 7108, 6
668, -444, 16620, 1
8544, -11776, -8288, 8
8700, 11532, 7760, 4
14276, -5080, 6844, 3
-8268, 11756, 7680, 5
744, -416, 16572, 1
14264, -5084, 6748, 3
8636, -11768, -8200, 8
-13808, -4964, 7052, 6
8716, 11576, 7752, 4
8700, 11532, 7796, 4
-436, 14796, -7020, 10
13908, 4280, -8100, 9
-8344, 11772, 7668, 5
-8744, -11700, -7904, 7
-14076, 4852, -7020, 11
8664, 11520, 7684, 4
-8768, -11780, -7820, 7
156, -15088, 6792, 2
14308, -5136, 6780, 3
13916, 4324, -7928, 9
-14080, 4772, -6996, 11
-364, 14832, -7052, 10
8544, -11708, -8136, 8
-392, 14860, -7088, 10
-160, 432, -16840, 12
-92, 352, -16812, 12
8524, -11804, -8132, 8
-216, 352, -16720, 12
668, -412, 16644, 1
8768, 11572, 7704, 4
-168, 452, -16924, 12
128, -15328, 6948, 2
-92, 328, -16848, 12
-384, 14788, -6972, 10
8592, -11768, -8300, 8
168, -15108, 6832, 2
668, -412, 16632, 1
-13864, -4928, 7056, 6
8724, 11548, 7884, 4
724, -368, 16672, 1
-8280, 11756, 7552, 5
-8180, 11796, 7604, 5
-8752, -11760, -7884, 7
-13920, -4944, 7008, 6
708, -432, 16732, 1
160, -15152, 6740, 2
8764, 11524, 7700, 4
8548, -11724, -8316, 8
-8220, 11704, 7592, 5
-84, 384, -16776, 12
14284, -5156, 6792, 3
-13844, -4888, 7120, 6
704, -432, 16612, 1
-132, 436, -16816, 12
-8588, -11508, -7716, 7
-14092, 4840, -6920, 11
8680, 11508, 7748, 4
-13948, -4988, 7044, 6
8544, -11812, -8172, 8
-8260, 11736, 7560, 5
-408, 14796, -7028, 10
-400, 14908, -7052, 10
-8796, -11724, -7924, 7
-8212, 11700, 7588, 5
14252, -5172, 6888, 3
200, -15108, 6820, 2
700, -408, 16644, 1
-13880, -5012, 6880, 6
728, -360, 16636, 1
-8236, 11648, 7608, 5
-8776, -11740, -7780, 7
736, -436, 16668, 1
712, -404, 16620, 1
8724, 11572, 7712, 4
8640, 11508, 7736, 4
-14040, 4796, -6988, 11
-8216, 11752, 7640, 5
-14076, 4776, -6860, 11
-8192, 11668, 7716, 5
-13840, -4876, 7056, 6
13900, 4260, -7912, 9
14300, -5152, 6828, 3
-8728, -11660, -8020, 7
728, -428, 16652, 1
-112, 484, -16796, 12
-180, 396, -16776, 12
-196, 348, -16792, 12
-396, 14864, -7028, 10
14352, -5104, 6784, 3
-13940, -4932, 6952, 6
-8728, -11720, -7840, 7
672, -412, 16600, 1
8492, -11732, -8172, 8
712, -436, 16572, 1
-8768, -11788, -7808, 7
-14096, 4892, -6976, 11
676, -452, 16660, 1
680, -416, 16664, 1
-13964, -4956, 7064, 6
-8264, 11712, 7656, 5
-8344, 11728, 7620, 5
648, -444, 16636, 1
-8780, -11688, -7848, 7
8712, 11540, 7796, 4
8712, 11476, 7776, 4
-13932, -4924, 6928, 6
8596, -11720, -8216, 8
-8276, 11724, 7596, 5
-124, 400, -16804, 12
-8288, 11732, 7544, 5
680, -420, 16644, 1
-144, 416, -16820, 12
704, -416, 16560, 1
14272, -5196, 6800, 3
-8696, -11796, -7864, 7
13932, 4308, -7852, 9
14276, -5168, 6812, 3
696, -400, 16720, 1
-192, 320, -16876, 12
-8704, -11716, -7880, 7
68, -15116, 6788, 2
-120, 400, -16892, 12
-8708, -11704, -7828, 7
8548, -11816, -8252, 8
14312, -5128, 6836, 3
-14020, 4780, -6964, 11
704, -432, 16612, 1
8532, -11764, -8196, 8
13848, 4280, -7936, 9
8608, -11684, -8228, 8
14296, -5120, 6672, 3
8536, -11816, -8136, 8
-13864, -4852, 7024, 6
704, -416, 16560, 1
-14052, 4820, -6996, 11
13928, 4312, -7932, 9
-8268, 11696, 7548, 5
14268, -5056, 6816, 3
-464, 14868, -6976, 10
160, -15180, 6852, 2
-13872, -5020, 7044, 6
652, -452, 16616, 1
8688, 11516, 7796, 4
8776, 11496, 7832, 4
-172, 348, -16840, 12
-152, 316, -16784, 12
-328, 14784, -7000, 10
-396, 14856, -6968, 10
668, -444, 16620, 1
-184, 364, -16732, 12
-14084, 4868, -7008, 11
-8724, -11784, -7788, 7
760, -412, 16544, 1
712, -376, 16696, 1
764, -396, 16628, 1
-13908, -4964, 7144, 6
8532, -11752, -8212, 8
-14068, 4892, -6924, 11
696, -400, 16616, 1
8572, -11728, -8196, 8
-8740, -11756, -7796, 7
8496, -11740, -8124, 8
728, -372, 16552, 1
-14072, 4868, -6984, 11
-8240, 11808, 7572, 5
704, -384, 16560, 1
-8276, 11748, 7604, 5
8776, 11548, 7792, 4
-8768, -11740, -7808, 7
-448, 14804, -6968, 10
-436, 14796, -7080, 10
-8192, 11720, 7644, 5
-13888, -4988, 6968, 6
14308, -5164, 6724, 3
-8724, -11804, -7884, 7
704, -384, 16572, 1
-416, 14792, -7040, 10
13868, 4220, -7924, 9
-13896, -4944, 7024, 6
-14136, 4808, -6900, 11
-8736, -11800, -7916, 7
-8280, 11700, 7768, 5
8524, -11768, -8116, 8
13896, 4340, -7904, 9
-8740, -11720, -7804, 7
-400, 14868, -6964, 10
136, -15160, 6792, 2
-14036, 4792, -6956, 11
8764, 11528, 7756, 4
184, -15100, 6908, 2
13856, 4296, -7948, 9
-8676, -11740, -7816, 7
13948, 4268, -8068, 9
13924, 4332, -7956, 9
-8192, 11860, 7688, 5
-13944, -4916, 6968, 6
14272, -5112, 6732, 3
-116, 352, -16860, 12
13916, 4352, -7904, 9
8700, 11488, 7824, 4
14344, -5148, 6780, 3
768, -528, 16588, 1
14372, -5116, 6772, 3
-13968, -5016, 6924, 6
732, -456, 16680, 1
-124, 400, -16804, 12
-14104, 4864, -6984, 11
-8676, -11672, -7836, 7
-128, 328, -16836, 12
-400, 14780, -7012, 10
-14104, 4816, -6980, 11
100, -15092, 6840, 2
-96, 384, -16772, 12
8712, 11512, 7716, 4
48, -15080, 6940, 2
-156, 420, -16796, 12
14336, -5112, 6760, 3
-420, 14840, -7052, 10
8768, 11460, 7848, 4
-80, 376, -16748, 12
-116, 412, -16876, 12
8648, 11488, 7764, 4
